test_id,id,type,score,title,opts,ans,analysis
paper_001,25,fill,4,软件分为系统软件和________两大类。,,应用软件,系统软件管理硬件资源，应用软件面向用户实现各类具体功能。
paper_002,1,single,4,Windows 7 操作系统属于？,A.单用户单任务操作系统|B.单用户多任务操作系统|C.多用户单任务操作系统|D.多用户多任务操作系统,B,Windows 7 是典型的单用户多任务图形化操作系统，同一时间仅一个用户登录，但可以同时运行多个程序、执行多项任务。
paper_002,2,single,4,在 Windows 7 中，用于暂时存放剪切或复制内容的工具是？,A.回收站|B.剪贴板|C.我的文档|D.任务栏,B,剪贴板是系统临时存储区域，剪切、复制的内容会暂存于剪贴板，粘贴操作可调用内容，关机后内容自动清空。
paper_002,3,single,4,Windows 7 系统中，删除文件放入回收站的快捷键是？,A.Delete|B.Ctrl+Delete|C.Shift+Delete|D.Alt+Delete,A,按下Delete 键可将文件移入回收站（可恢复）；Shift+Delete 为彻底删除，文件不进入回收站、无法直接恢复。
paper_002,4,single,4,在 Windows 7 窗口中，可实现窗口最小化、最大化、关闭功能的区域是？,A.菜单栏|B.工具栏|C.标题栏|D.状态栏,C,窗口标题栏位于窗口最顶端，包含窗口名称、最小化、最大化 / 还原、关闭按钮，是窗口核心控制区域。
paper_002,5,single,4,Windows 7 系统中，全选当前窗口所有文件的快捷键是？,A.Ctrl+A|B.Ctrl+S|C.Ctrl+C|D.Ctrl+V,A,常用快捷键：Ctrl+A 全选、Ctrl+S 保存、Ctrl+C 复制、Ctrl+V 粘贴、Ctrl+X 剪切。
paper_002,6,single,4,在 Windows 7 中，回收站的作用是？,A.永久删除文件|B.临时存放被删除的文件和文件夹|C.存放系统垃圾文件|D.备份系统文件,B,回收站是系统安全机制，临时存储普通删除的文件 / 文件夹，用户可随时还原误删文件，清空回收站后文件永久删除。
paper_002,7,single,4,Windows 7 任务栏默认位于桌面的？,A.顶部|B.底部|C.左侧|D.右侧,B,Windows 7 任务栏默认固定在桌面底部，可手动设置移动至桌面顶部、左侧、右侧。
paper_002,8,single,4,下列关于 Windows 7 文件名的说法，正确的是？,A.文件名可以包含 “\ /<> |” 符号|B.文件名最长可包含 255 个字符|C.文件名不可以使用汉字|D.文件名不区分大小写,D,Windows 文件名不区分大小写；禁止包含 \ /< > | 特殊符号，支持汉字，最长字符数为 256 个
paper_002,9,single,4,在 Windows 7 中，切换已经打开的多个窗口的快捷键是？,A.Alt+Tab|B.Ctrl+Tab|C.Shift+Tab|D.Alt+Ctrl,A,：Alt+Tab是 Windows 系统通用窗口切换快捷键，可快速切换所有已打开的程序窗口。
paper_002,10,single,4,Windows 7 系统中，用来查看和管理电脑所有文件、文件夹的工具是？,A.控制面板|B.资源管理器|C.记事本|D.计算器,B,Windows 资源管理器是系统核心文件管理工具，可浏览、移动、复制、删除、整理所有磁盘文件与文件夹。
paper_002,11,judge,4,Windows 7 回收站中的文件，清空后依然可以直接恢复。（）,,B,回收站清空后，文件被系统永久删除，无法通过系统自带功能直接恢复。
paper_002,12,judge,4,Windows 7 可以同时打开多个应用程序窗口，属于多任务操作系统。（）,,A,Windows 7 支持后台、前台同时运行多个软件，具备多任务处理能力。
paper_002,13,judge,4,剪切后的内容只能粘贴一次，复制后的内容可以多次粘贴。（）,,A,剪切操作后剪贴板内容随粘贴清空，仅可使用一次；复制内容可无限次粘贴，直至新内容覆盖剪贴板。
paper_002,14,judge,4,Windows 7 的文件名可以包含星号 “*” 和问号 “？” 符号。（）,,B,\ / : *< > | 为系统保留特殊符号，禁止用于文件、文件夹命名。
paper_002,15,judge,4,拖动窗口标题栏，可以移动处于最大化状态的 Windows 窗口。（）,,B,最大化的窗口铺满整个屏幕，无法拖动；仅还原为正常大小的窗口可拖动标题栏移动位置。
paper_002,16,judge,4,Alt+Tab 快捷键可以快速切换 Windows 7 中已打开的应用窗口。（）,,A,Alt+Tab 是系统默认窗口切换快捷键，是日常操作中最常用的窗口切换方式。
paper_002,17,fill,4,Windows 7 是一款________界面的操作系统。,,图形化,Windows 7 采用可视化图形操作界面，区别于 DOS 命令行系统，操作简单、直观。
paper_002,18,fill,4,在 Windows 7 中，彻底删除文件、不放入回收站的快捷键是________。,,Shift+Delete,组合键 Shift+Delete 可直接永久删除文件，删除后无法通过回收站恢复。
paper_002,19,fill,4,Windows 7 窗口的四种基本状态分别是：最大化、最小化、关闭、________。,,还原,窗口可在最大化、最小化、还原（正常大小）、关闭四种状态之间切换。
paper_002,20,fill,4,复制文件的快捷键是 Ctrl+C，粘贴文件的快捷键是________。,,Ctrl+V,Ctrl+C 复制、Ctrl+V 粘贴、Ctrl+X 剪切是 Windows 系统最常用的文件操作快捷键。
paper_002,21,fill,4,Windows 7 桌面上，用于临时存放被删除文件的系统文件夹是________。,,回收站,回收站为系统自带功能，保护用户避免误删文件，支持文件还原和彻底清空。
paper_002,22,fill,4,任务栏最左侧的核心功能按钮是________按钮，可打开系统开始菜单。,,开始,点击桌面左下角开始按钮，可打开所有程序、系统设置、控制面板、关机选项。
paper_002,23,fill,4,在 Windows 7 中，________可以统一更改系统分辨率、壁纸、主题、字体等外观设置。,,控制面板,控制面板是 Windows 系统的集中设置中心，可完成硬件、软件、外观、网络等所有系统配置。
paper_002,24,fill,4,多个窗口层叠打开时，单击________可快速显示全部桌面，隐藏所有窗口。,,显示桌面,任务栏最右侧的显示桌面区域，可一键最小化所有窗口、返回纯净桌面。
paper_002,25,fill,4,Windows 7 文件命名中，________（填可以 / 不可以）使用汉字作为文件名。,,可以,Windows 7 系统全面支持中文文件名、中文文件夹名，兼容性良好。
